id,url,name,description,owner,owner_type,owner_image_url,created_at,updated_at,homepage_url,repo_size_kb,license,num_stars,num_forks,is_fork,topics,is_archived,default_branch,main_language,has_projects,has_wiki,has_pages,has_discussions,has_issues,info_url
23399454,https://github.com/smart-on-fhir/client-py,client-py,Python SMART on FHIR client,smart-on-fhir,Organization,https://avatars.githubusercontent.com/u/7401080?v=4,2014-08-27T17:47:18Z,2024-03-13T04:58:27Z,http://docs.smarthealthit.org,14150,Other,542,204,False,"['fhir', 'fhir-client', 'fhir-parser', 'smart-on-fhir']",False,master,Python,True,True,True,False,True,https://api.github.com/repos/smart-on-fhir/client-py
150327237,https://github.com/lhncbc/lforms-fhir-app,lforms-fhir-app,A SMART on FHIR app that uses lforms widget to handle Questionnaire and QuestionnaireResponse,lhncbc,Organization,https://avatars.githubusercontent.com/u/9272238?v=4,2018-09-25T20:45:51Z,2024-03-12T12:43:44Z,,15165,Other,42,26,False,[],False,master,JavaScript,True,True,True,False,True,https://api.github.com/repos/lhncbc/lforms-fhir-app
20515538,https://github.com/smart-on-fhir/smart-on-fhir.github.io,smart-on-fhir.github.io,SMART on FHIR Docs,smart-on-fhir,Organization,https://avatars.githubusercontent.com/u/7401080?v=4,2014-06-05T07:14:04Z,2024-03-12T12:38:23Z,,4340,Other,81,87,False,[],False,master,Jupyter Notebook,True,True,True,False,True,https://api.github.com/repos/smart-on-fhir/smart-on-fhir.github.io
250485570,https://github.com/helsenorge/structor,structor,FHIR Questionnaire Form Builder,helsenorge,Organization,https://avatars.githubusercontent.com/u/6973385?v=4,2020-03-27T08:54:49Z,2024-03-01T19:31:33Z,https://formdesigner.helsenorgelab.no,22049,MIT License,72,28,False,"['fhir', 'form-builder', 'questionnaire', 'react', 'sdc', 'typescript']",False,master,TypeScript,False,False,False,True,True,https://api.github.com/repos/helsenorge/structor
162668047,https://github.com/microsoft/fhir-server-samples,fhir-server-samples,Samples for Microsoft FHIR Server for Azure,microsoft,Organization,https://avatars.githubusercontent.com/u/6154722?v=4,2018-12-21T05:02:57Z,2024-03-10T20:58:13Z,,1176,MIT License,222,133,False,[],True,master,C#,True,True,False,False,True,https://api.github.com/repos/microsoft/fhir-server-samples
52342167,https://github.com/kakoni/awesome-healthcare,awesome-healthcare,"Curated list of awesome open source healthcare software, libraries, tools and resources.",kakoni,User,https://avatars.githubusercontent.com/u/812150?v=4,2016-02-23T08:08:53Z,2024-03-11T21:05:21Z,,278,Creative Commons Zero v1.0 Universal,2417,338,False,"['awesome', 'awesome-list', 'health', 'list']",False,master,,True,True,False,False,True,https://api.github.com/repos/kakoni/awesome-healthcare
12287622,https://github.com/smart-on-fhir/api-server,api-server,Open-source FHIR Server to support patient- and clinician-facing apps,smart-on-fhir,Organization,https://avatars.githubusercontent.com/u/7401080?v=4,2013-08-22T03:36:25Z,2024-03-12T12:37:45Z,http://smartplatforms.org,2279,Other,105,43,False,[],False,master,Groovy,True,True,False,False,True,https://api.github.com/repos/smart-on-fhir/api-server
138933229,https://github.com/CHBase/smart-ng-fhir-app,smart-ng-fhir-app,Sample FHIR Application using Angular and SMART on FHIR Javascript Client Library,CHBase,Organization,https://avatars.githubusercontent.com/u/14769525?v=4,2018-06-27T21:08:28Z,2023-07-31T03:35:57Z,,5569,,14,23,False,"['fhir', 'smart', 'smart-on-fhir']",False,master,TypeScript,True,True,True,False,True,https://api.github.com/repos/CHBase/smart-ng-fhir-app
16754048,https://github.com/jmandel/smart-on-fhir-installer,smart-on-fhir-installer,Ansible + Vagrant installers for SMART on FHIR,jmandel,User,https://avatars.githubusercontent.com/u/313089?v=4,2014-02-12T03:01:28Z,2021-10-30T20:08:23Z,,431,,8,26,False,[],False,master,Python,True,True,False,False,True,https://api.github.com/repos/jmandel/smart-on-fhir-installer
42871308,https://github.com/fhir-crucible/crucible,crucible,🔥 Crucible web application for testing FHIR servers,fhir-crucible,Organization,https://avatars.githubusercontent.com/u/10121247?v=4,2015-09-21T14:29:06Z,2024-03-12T12:39:48Z,http://projectcrucible.org,64586,,76,28,False,['fhir'],False,master,HTML,True,True,False,False,True,https://api.github.com/repos/fhir-crucible/crucible
21233483,https://github.com/smart-on-fhir/Swift-SMART,Swift-SMART,Swift SMART on FHIR framework for iOS and OS X,smart-on-fhir,Organization,https://avatars.githubusercontent.com/u/7401080?v=4,2014-06-26T08:24:59Z,2024-03-12T12:38:27Z,,6786,Other,127,48,False,"['fhir', 'fhir-client', 'ios', 'ios-framework', 'macos', 'smart-on-fhir']",False,master,Swift,True,True,True,False,True,https://api.github.com/repos/smart-on-fhir/Swift-SMART
