id,url,name,description,owner,owner_type,owner_image_url,created_at,updated_at,homepage_url,repo_size_kb,license,num_stars,num_forks,is_fork,topics,is_archived,default_branch,main_language,has_projects,has_wiki,has_pages,has_discussions,has_issues,info_url
208727886,https://github.com/QuickBirdEng/SurveyKit,SurveyKit,Android library to create beautiful surveys (aligned with ResearchKit on iOS) ,QuickBirdEng,Organization,https://avatars.githubusercontent.com/u/33484171?v=4,2019-09-16T06:38:47Z,2024-02-26T13:00:14Z,,4662,MIT License,384,71,False,"['android', 'android-library', 'clinical-trials', 'data', 'forms', 'ios-researchkit-surveys', 'kotlin', 'kotlin-android', 'medical', 'poll', 'research', 'study-conduct', 'survey']",False,master,Kotlin,True,True,False,False,True,https://api.github.com/repos/QuickBirdEng/SurveyKit
32883202,https://github.com/ResearchKit/AsthmaHealth,AsthmaHealth,"ResearchKit app studying Asthma, developed by Mt Sinai.",ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-25T18:29:40Z,2024-01-12T04:14:00Z,,22092,Other,96,48,False,[],False,master,Objective-C,True,False,False,False,True,https://api.github.com/repos/ResearchKit/AsthmaHealth
32883131,https://github.com/ResearchKit/ShareTheJourney,ShareTheJourney,"ResearchKit app studying Breast Cancer, developed by Sage Bionetworks.",ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-25T18:28:20Z,2024-03-12T12:39:13Z,,25420,"BSD 3-Clause ""New"" or ""Revised"" License",77,44,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/ResearchKit/ShareTheJourney
56595424,https://github.com/wwdc/2016,2016,Student Submissions for the WWDC 2016 Scholarship,wwdc,Organization,https://avatars.githubusercontent.com/u/12163195?v=4,2016-04-19T12:38:18Z,2023-07-31T18:22:07Z,http://wwdc.github.io/2016/,163,,82,86,False,[],False,master,,True,True,True,False,True,https://api.github.com/repos/wwdc/2016
54239428,https://github.com/23andMe/23andMeResearchKitModule,23andMeResearchKitModule,23andMe ResearchKit Module,23andMe,Organization,https://avatars.githubusercontent.com/u/1323264?v=4,2016-03-19T00:33:34Z,2023-01-28T15:59:05Z,,300,,36,6,False,[],True,master,Objective-C,True,False,True,False,True,https://api.github.com/repos/23andMe/23andMeResearchKitModule
102672274,https://github.com/Mylittleswift/ios-health-fitness-apps,ios-health-fitness-apps,"iOS health & fitness apps, medical researches and tutorials",Mylittleswift,User,https://avatars.githubusercontent.com/u/8519553?v=4,2017-09-07T00:39:28Z,2023-11-24T06:08:46Z,,60413,,47,6,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/Mylittleswift/ios-health-fitness-apps
51097924,https://github.com/Sage-Bionetworks/BridgeAppSDK,BridgeAppSDK,SDK for creating ResearchKit-based Bridge apps for iOS,Sage-Bionetworks,Organization,https://avatars.githubusercontent.com/u/1250897?v=4,2016-02-04T18:59:59Z,2023-01-28T06:40:56Z,,8251,"BSD 3-Clause ""New"" or ""Revised"" License",8,18,False,[],True,master,Swift,True,True,False,False,True,https://api.github.com/repos/Sage-Bionetworks/BridgeAppSDK
113921670,https://github.com/ResearchKit/SageResearch,SageResearch,,ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2017-12-11T23:57:22Z,2024-03-12T12:42:39Z,,208797,"BSD 3-Clause ""New"" or ""Revised"" License",20,20,False,[],False,master,Swift,True,True,True,False,True,https://api.github.com/repos/ResearchKit/SageResearch
160700978,https://github.com/cph-cachet/research.package,research.package,A Flutter package implementing support for surveys like ResearchStack and ResearchKit,cph-cachet,Organization,https://avatars.githubusercontent.com/u/34303488?v=4,2018-12-06T16:21:34Z,2024-01-24T15:21:40Z,,63410,MIT License,50,40,False,"['consent', 'flutter', 'flutter-package', 'researchkit', 'researchstack', 'survey']",False,master,Dart,True,True,True,False,True,https://api.github.com/repos/cph-cachet/research.package
32900075,https://github.com/ResearchKit/MyHeartCounts,MyHeartCounts,MyHeart Counts is a ResearchKit app developed by Stanford.,ResearchKit,Organization,https://avatars.githubusercontent.com/u/11183179?v=4,2015-03-26T01:08:47Z,2024-03-13T02:24:24Z,,98210,Other,65,25,False,[],False,master,Objective-C,True,False,False,False,True,https://api.github.com/repos/ResearchKit/MyHeartCounts
374707680,https://github.com/carekit-apple/WWDC21-RecoverApp,WWDC21-RecoverApp,,carekit-apple,Organization,https://avatars.githubusercontent.com/u/18153292?v=4,2021-06-07T15:06:07Z,2024-03-12T12:47:09Z,,25,,33,9,False,[],False,main,Swift,True,True,False,False,True,https://api.github.com/repos/carekit-apple/WWDC21-RecoverApp
42143305,https://github.com/ninoguba/ionic-researchKit,ionic-researchKit,An open source library equivalent of Apple's ResearchKit Framework built on Ionic which makes it easy to create cross-platform hybrid native apps for medical research or for other research projects.,ninoguba,User,https://avatars.githubusercontent.com/u/4361804?v=4,2015-09-08T22:53:51Z,2023-03-08T15:45:52Z,,4381,MIT License,66,27,False,[],False,master,JavaScript,True,True,True,False,True,https://api.github.com/repos/ninoguba/ionic-researchKit
493420517,https://github.com/DeveloperAcademy-POSTECH/pos-frameworks-dictionary,pos-frameworks-dictionary,Apple Technologies Document 에 나와있는 애플의 기술들에서 앱을 만들 때 사용할 수 있는 여러가지 프레임워크들을 정리하는 문서입니다,DeveloperAcademy-POSTECH,Organization,https://avatars.githubusercontent.com/u/103614955?v=4,2022-05-17T21:35:33Z,2024-02-28T14:35:53Z,,12,,37,8,False,"['apple', 'ios']",False,main,,False,True,False,False,True,https://api.github.com/repos/DeveloperAcademy-POSTECH/pos-frameworks-dictionary
90170547,https://github.com/appcoda/SampleResearchKit,SampleResearchKit,A sample app for Apple's ResearchKit,appcoda,Organization,https://avatars.githubusercontent.com/u/1707709?v=4,2017-05-03T16:31:55Z,2024-01-03T14:52:13Z,,8471,,15,4,False,"['apple', 'ios-app', 'researchkit', 'sample-app', 'swift', 'swift-3']",False,master,Swift,True,True,False,False,True,https://api.github.com/repos/appcoda/SampleResearchKit
34294282,https://github.com/C3-PRO/c3-pro-ios-framework,c3-pro-ios-framework,Combining FHIR and ResearchKit,C3-PRO,Organization,https://avatars.githubusercontent.com/u/20068035?v=4,2015-04-21T00:27:01Z,2023-03-15T05:24:25Z,http://c3-pro.org,2947,Other,27,6,False,"['c3-pro', 'ios', 'researchkit', 'swift']",False,master,Swift,True,True,True,False,True,https://api.github.com/repos/C3-PRO/c3-pro-ios-framework
73360946,https://github.com/TreeHacks/hackpack-researchkit,hackpack-researchkit,,TreeHacks,Organization,https://avatars.githubusercontent.com/u/9547794?v=4,2016-11-10T08:19:03Z,2023-08-24T06:11:23Z,,438,,12,4,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/TreeHacks/hackpack-researchkit
78770889,https://github.com/Sage-Bionetworks/ResearchUXFactory-iOS,ResearchUXFactory-iOS,Factory methods for creating ResearchKit custom classes and steps,Sage-Bionetworks,Organization,https://avatars.githubusercontent.com/u/1250897?v=4,2017-01-12T17:45:33Z,2023-01-28T06:40:57Z,,7253,"BSD 3-Clause ""New"" or ""Revised"" License",2,11,False,[],True,master,Swift,True,True,False,False,True,https://api.github.com/repos/Sage-Bionetworks/ResearchUXFactory-iOS
57918488,https://github.com/ResearchSuite/sdl-rkx,sdl-rkx,"The Small Data Lab ResearchKit Extensions package is the easiest way to include SDL visual surveys (YADL, MEDL, PAM) into a ResearchKit application.",ResearchSuite,Organization,https://avatars.githubusercontent.com/u/26690220?v=4,2016-05-02T20:11:17Z,2018-07-14T18:09:32Z,,17894,Apache License 2.0,5,7,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/ResearchSuite/sdl-rkx
59135025,https://github.com/matteocrippa/ResearchKit-ColorBlind,ResearchKit-ColorBlind,Colorblind app - ResearchKit Swift app,matteocrippa,User,https://avatars.githubusercontent.com/u/475463?v=4,2016-05-18T16:57:46Z,2020-12-19T09:50:40Z,https://itunes.apple.com/us/app/colorblind-app-color-blindness/id1098387412?ls=1&mt=8,1037,,9,5,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/matteocrippa/ResearchKit-ColorBlind
47792398,https://github.com/Sage-Bionetworks/MoleMapper,MoleMapper,,Sage-Bionetworks,Organization,https://avatars.githubusercontent.com/u/1250897?v=4,2015-12-10T22:59:42Z,2023-07-14T23:45:02Z,,71180,Other,13,11,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/Sage-Bionetworks/MoleMapper
530673273,https://github.com/StanfordBDHG/ResearchKitOnFHIR,ResearchKitOnFHIR,HL7 FHIR Structured Data Capture with ResearchKit on iOS,StanfordBDHG,Organization,https://avatars.githubusercontent.com/u/118127024?v=4,2022-08-30T13:37:30Z,2024-02-06T22:17:10Z,https://swiftpackageindex.com/StanfordBDHG/ResearchKitOnFHIR/documentation,194,MIT License,11,2,False,"['fhir', 'questionnaire', 'researchkit', 'stanford', 'swift', 'swiftui']",False,main,Swift,False,False,False,False,True,https://api.github.com/repos/StanfordBDHG/ResearchKitOnFHIR
223039984,https://github.com/SMARTMarkers/smartmarkers-ios,smartmarkers-ios,SMART Markers framework for creating apps that connect patient generated data to point of care systems.,SMARTMarkers,Organization,https://avatars.githubusercontent.com/u/55999665?v=4,2019-11-20T22:34:23Z,2023-08-23T17:50:33Z,https://smarthealthit.org/smart-markers-a-framework-for-patient-generated-data/,767,Other,21,3,False,"['fhir', 'fhir-apps', 'fhir-server', 'healthkit', 'hl7', 'ios', 'patient-reported-outcomes', 'practitioner-apps', 'promis', 'researchkit', 'smart-on-fhir', 'swift']",False,master,Swift,True,True,False,False,True,https://api.github.com/repos/SMARTMarkers/smartmarkers-ios
56337819,https://github.com/ResearchStack/SampleApp,SampleApp,ResearchStack Sample App,ResearchStack,Organization,https://avatars.githubusercontent.com/u/15782830?v=4,2016-04-15T17:24:06Z,2021-06-02T19:00:59Z,,11853,Other,15,17,False,[],False,master,Java,True,True,False,False,True,https://api.github.com/repos/ResearchStack/SampleApp
367207121,https://github.com/qcitizen/qc-apply,qc-apply,"""Every journey starts with a single step: now in an easy-to-use, Quick Exercise format"". (i.e. this is the first step of our hiring process) - QC",qcitizen,Organization,https://avatars.githubusercontent.com/u/60675435?v=4,2021-05-14T00:26:19Z,2022-12-19T17:28:39Z,https://www.quantifiedcitizen.com,19,,3,32,False,"['20m', 'exercise', 'hiring']",False,main,,True,True,False,False,True,https://api.github.com/repos/qcitizen/qc-apply
49227440,https://github.com/Sage-Bionetworks/mPowerSDK,mPowerSDK,"Shared framework for ResearchKit app studying Parkinson's disease, developed by Sage Bionetworks and University of Rochester.",Sage-Bionetworks,Organization,https://avatars.githubusercontent.com/u/1250897?v=4,2016-01-07T19:59:13Z,2023-01-28T06:40:56Z,,24594,"BSD 3-Clause ""New"" or ""Revised"" License",3,9,False,[],True,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/Sage-Bionetworks/mPowerSDK
34044543,https://github.com/bigmlcom/BigMLKit,BigMLKit,Marrying Machine Learning with Apple's ResearchKit/HealthKit.,bigmlcom,Organization,https://avatars.githubusercontent.com/u/702185?v=4,2015-04-16T08:46:21Z,2023-07-11T11:29:44Z,,316,Apache License 2.0,18,3,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/bigmlcom/BigMLKit
52342167,https://github.com/kakoni/awesome-healthcare,awesome-healthcare,"Curated list of awesome open source healthcare software, libraries, tools and resources.",kakoni,User,https://avatars.githubusercontent.com/u/812150?v=4,2016-02-23T08:08:53Z,2024-03-11T21:05:21Z,,278,Creative Commons Zero v1.0 Universal,2417,338,False,"['awesome', 'awesome-list', 'health', 'list']",False,master,,True,True,False,False,True,https://api.github.com/repos/kakoni/awesome-healthcare
49981601,https://github.com/cloudmine/CMHealthSDK-iOS,CMHealthSDK-iOS,CloudMine SDK for Apple's ResearchKit and CareKit,cloudmine,Organization,https://avatars.githubusercontent.com/u/1031632?v=4,2016-01-19T20:39:56Z,2024-03-12T12:40:10Z,http://cloudmineinc.com,643,MIT License,9,4,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/cloudmine/CMHealthSDK-iOS
34072461,https://github.com/EddyVerbruggen/cordova-plugin-researchkit,cordova-plugin-researchkit,Cordova / PhoneGap plugin for the Apple's ResearchKit,EddyVerbruggen,User,https://avatars.githubusercontent.com/u/1426370?v=4,2015-04-16T18:14:22Z,2020-03-30T11:29:50Z,,7996,,8,2,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/EddyVerbruggen/cordova-plugin-researchkit
2676290,https://github.com/cloudmine/CloudMineSDK-iOS,CloudMineSDK-iOS,CloudMine iOS SDK,cloudmine,Organization,https://avatars.githubusercontent.com/u/1031632?v=4,2011-10-30T18:09:19Z,2022-06-30T10:00:48Z,https://cloudmine.io/docs/#/ios,10696,MIT License,12,21,False,[],False,develop,Objective-C,True,True,False,False,True,https://api.github.com/repos/cloudmine/CloudMineSDK-iOS
67024111,https://github.com/juanvalladolid/HeartProject,HeartProject,A prototype application that supports Heart Failure patients. The app can collect HealthKit Data and symptoms through surveys from ResearchKit and the can provide of insights from the disease.,juanvalladolid,User,https://avatars.githubusercontent.com/u/7427962?v=4,2016-08-31T09:35:33Z,2019-02-19T12:29:26Z,,3545,,2,3,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/juanvalladolid/HeartProject
324653854,https://github.com/CS342-Archive/AssignmentTwo,AssignmentTwo,,CS342-Archive,Organization,https://avatars.githubusercontent.com/u/121260515?v=4,2020-12-26T23:41:36Z,2022-12-22T20:24:42Z,,20133,,0,5,False,[],True,main,Objective-C,True,True,False,False,True,https://api.github.com/repos/CS342-Archive/AssignmentTwo
100271488,https://github.com/intere/360iDev2017,360iDev2017,Code / Notes from 360iDev 2017,intere,User,https://avatars.githubusercontent.com/u/2284832?v=4,2017-08-14T13:37:48Z,2020-05-02T18:06:01Z,,224990,,19,5,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/intere/360iDev2017
43836139,https://github.com/Sage-Bionetworks/mPower-sdata,mPower-sdata,scripts used for preparation of Nature Scientific Data submission and release of mPower data,Sage-Bionetworks,Organization,https://avatars.githubusercontent.com/u/1250897?v=4,2015-10-07T18:23:52Z,2022-10-15T13:53:58Z,,49,,8,9,False,[],False,master,R,True,True,False,False,True,https://api.github.com/repos/Sage-Bionetworks/mPower-sdata
34415302,https://github.com/mdsol/MORK,MORK,Medidata Patient Cloud + ResearchKit integration,mdsol,Organization,https://avatars.githubusercontent.com/u/171103?v=4,2015-04-22T20:52:56Z,2023-01-30T09:11:16Z,,486,MIT License,11,1,False,['patient-mgmt'],True,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/mdsol/MORK
40347234,https://github.com/follyxing/awesome-objc-frameworks,awesome-objc-frameworks,【OC框架排名列表 】A curated list of awesome Objective-C frameworks,follyxing,User,https://avatars.githubusercontent.com/u/4349448?v=4,2015-08-07T07:28:04Z,2023-10-31T04:44:11Z,,448,,334,116,False,[],False,master,,True,True,False,False,True,https://api.github.com/repos/follyxing/awesome-objc-frameworks
49981551,https://github.com/cloudmine/AsthmaHealth,AsthmaHealth,ResearchKit Demo app using CMHealth,cloudmine,Organization,https://avatars.githubusercontent.com/u/1031632?v=4,2016-01-19T20:39:19Z,2016-04-11T21:30:14Z,,2105,MIT License,2,2,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/cloudmine/AsthmaHealth
59571983,https://github.com/ResearchStack/MoleMapperAndroid,MoleMapperAndroid,An open-source implementation of Mole Mapper for Android using ResearchStack.,ResearchStack,Organization,https://avatars.githubusercontent.com/u/15782830?v=4,2016-05-24T12:38:56Z,2023-07-14T23:44:48Z,,1160,Apache License 2.0,17,7,False,[],False,master,Java,True,True,False,False,True,https://api.github.com/repos/ResearchStack/MoleMapperAndroid
56270361,https://github.com/carekit-apple/CareKit,CareKit,CareKit is an open source software framework for creating apps that help people better understand and manage their health.,carekit-apple,Organization,https://avatars.githubusercontent.com/u/18153292?v=4,2016-04-14T21:12:24Z,2024-03-13T00:09:28Z,https://www.researchandcare.org,38740,Other,2366,439,False,"['carekit', 'combine', 'core-data', 'darkmode-ios13', 'health', 'swift-package-manager', 'swift5', 'uiframework']",False,main,Swift,True,True,True,True,True,https://api.github.com/repos/carekit-apple/CareKit
34156630,https://github.com/mluedke2/camelot,camelot,Example project using ResearchKit,mluedke2,User,https://avatars.githubusercontent.com/u/1056580?v=4,2015-04-18T07:20:27Z,2016-12-29T14:33:55Z,http://www.raywenderlich.com/104575/researchkit-tutorial-with-swift,10888,MIT License,3,2,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/mluedke2/camelot
139016466,https://github.com/sye8/AppleWatchHeartRateCollection,AppleWatchHeartRateCollection,Use ResearchKit to collect Apple Watch heart rate data on iOS devices,sye8,User,https://avatars.githubusercontent.com/u/25496380?v=4,2018-06-28T12:41:11Z,2022-01-03T21:52:00Z,,499,,6,0,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/sye8/AppleWatchHeartRateCollection
135611546,https://github.com/ResearchSuite/Docs,Docs,,ResearchSuite,Organization,https://avatars.githubusercontent.com/u/26690220?v=4,2018-05-31T16:51:31Z,2019-05-08T10:43:46Z,,15612,,2,2,False,"['docs', 'researchsuite']",False,master,,True,True,False,False,True,https://api.github.com/repos/ResearchSuite/Docs
24221254,https://github.com/raivivek/awesome-biology,awesome-biology,Curated (meta)list of resources for Biology.,raivivek,User,https://avatars.githubusercontent.com/u/3218617?v=4,2014-09-19T07:55:11Z,2024-03-01T02:12:58Z,,195,Creative Commons Zero v1.0 Universal,315,43,False,"['awesome-list', 'bioinformatics', 'biology', 'books', 'evolution', 'science', 'systems-biology']",False,master,,True,True,False,False,True,https://api.github.com/repos/raivivek/awesome-biology
40735219,https://github.com/appliedinfo/android-researchkit,android-researchkit,Android equivalent of ResearchKit. ,appliedinfo,Organization,https://avatars.githubusercontent.com/u/13802507?v=4,2015-08-14T20:42:27Z,2016-02-25T03:07:34Z,,340,,2,1,False,[],False,master,Java,True,True,False,False,True,https://api.github.com/repos/appliedinfo/android-researchkit
37242854,https://github.com/6david9/WWDC2015,WWDC2015,WWDC2015下载链接,6david9,User,https://avatars.githubusercontent.com/u/686160?v=4,2015-06-11T06:14:51Z,2023-07-10T12:19:13Z,,147,,161,35,False,[],False,master,Ruby,True,True,False,False,True,https://api.github.com/repos/6david9/WWDC2015
140771256,https://github.com/StanfordHCI/HPDS-legacy,HPDS-legacy,"Hybrid Physical + Digital Spaces, for Enhanced Sustainability and Wellbeing (Supervised by Liz Murnane and James Landay)",StanfordHCI,Organization,https://avatars.githubusercontent.com/u/853928?v=4,2018-07-12T22:39:45Z,2023-05-26T09:48:15Z,,112945,,7,4,False,[],True,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/StanfordHCI/HPDS-legacy
35132359,https://github.com/gajen0981/FHIR-Server,FHIR-Server,FHIR server with Blue Button capabilities around RESTful API.,gajen0981,User,https://avatars.githubusercontent.com/u/980887?v=4,2015-05-06T01:13:19Z,2021-05-25T08:20:26Z,https://1uphealth.care,22196,Apache License 2.0,20,10,False,[],False,master,Java,True,True,False,False,True,https://api.github.com/repos/gajen0981/FHIR-Server
65511237,https://github.com/durangatan/repose,repose,Find repose in your pocket.,durangatan,User,https://avatars.githubusercontent.com/u/17210728?v=4,2016-08-12T00:46:12Z,2016-08-12T21:37:21Z,,3779,,3,2,False,[],False,master,HTML,True,True,False,False,True,https://api.github.com/repos/durangatan/repose
517287360,https://github.com/Correia-jpv/fucking-open-source-ios-apps,fucking-open-source-ios-apps,📱 Collaborative List of Open-Source iOS Apps. With up-to-date repository stars⭐ and forks🍴,Correia-jpv,User,https://avatars.githubusercontent.com/u/16155781?v=4,2022-07-24T10:07:01Z,2024-03-10T01:35:23Z,,23647,Creative Commons Zero v1.0 Universal,21,1,False,"['app', 'apple', 'apple-tv', 'apple-watch', 'awesome', 'awesome-list', 'cocoapods', 'game', 'ios', 'ipad', 'iphone', 'list', 'objective-c', 'react-native', 'reactive-programming', 'reactiveswift', 'swift', 'swiftui', 'tvos', 'watchos']",False,main,,False,False,False,False,True,https://api.github.com/repos/Correia-jpv/fucking-open-source-ios-apps
488725484,https://github.com/susom/lifespace,lifespace,Source code for the LifeSpace iOS app,susom,Organization,https://avatars.githubusercontent.com/u/5942742?v=4,2022-05-04T19:53:13Z,2024-01-13T19:46:49Z,,6047,,2,2,False,[],False,main,Swift,False,False,True,False,True,https://api.github.com/repos/susom/lifespace
37127835,https://github.com/wwdc-debrief/wwdc-debrief,wwdc-debrief,,wwdc-debrief,Organization,https://avatars.githubusercontent.com/u/12812817?v=4,2015-06-09T11:22:48Z,2022-02-06T21:18:11Z,,1727,,34,3,False,[],False,master,,True,True,True,False,True,https://api.github.com/repos/wwdc-debrief/wwdc-debrief
39036844,https://github.com/abbeyjackson/Template-CodeExample-AnxietyResearch,Template-CodeExample-AnxietyResearch,Objective-C ResearchKit (without AppCore) demo app,abbeyjackson,User,https://avatars.githubusercontent.com/u/11657280?v=4,2015-07-13T20:54:47Z,2018-08-07T18:18:23Z,,672,,3,0,False,[],False,master,Objective-C,True,True,False,False,True,https://api.github.com/repos/abbeyjackson/Template-CodeExample-AnxietyResearch
46698260,https://github.com/sunnyliyanbo1357/Migraine-ResearchKit,Migraine-ResearchKit,Using ResearchKit to gether data for migraine research,sunnyliyanbo1357,User,https://avatars.githubusercontent.com/u/14063254?v=4,2015-11-23T05:18:29Z,2018-02-15T18:52:46Z,,387,,2,0,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/sunnyliyanbo1357/Migraine-ResearchKit
47363416,https://github.com/C3-PRO/c3-pro-demo-ios,c3-pro-demo-ios,iOS Demo App for C3-PRO,C3-PRO,Organization,https://avatars.githubusercontent.com/u/20068035?v=4,2015-12-03T21:58:07Z,2020-01-16T04:22:47Z,,460,,1,4,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/C3-PRO/c3-pro-demo-ios
250316897,https://github.com/DBMendelsohn/clinical-developer-kit,clinical-developer-kit,A list of resources to help you build your clinical applications and algorithms,DBMendelsohn,User,https://avatars.githubusercontent.com/u/62713376?v=4,2020-03-26T16:49:03Z,2020-03-26T16:49:05Z,,11,MIT License,0,2,False,[],False,master,,True,True,False,False,False,https://api.github.com/repos/DBMendelsohn/clinical-developer-kit
67734962,https://github.com/Kinvey/kinvey-researchkit,kinvey-researchkit,ResearchKit wrapper for Kinvey,Kinvey,Organization,https://avatars.githubusercontent.com/u/1276480?v=4,2016-09-08T19:44:51Z,2018-07-24T09:17:54Z,,474819,Other,2,1,False,[],False,master,Swift,True,True,False,False,True,https://api.github.com/repos/Kinvey/kinvey-researchkit
531288353,https://github.com/Jason-TsangGL/Mindful-Moves,Mindful-Moves,Adherence of Canadian 24-hr Movement Guideline Profiles in young adults through personal smart devices and the potential links to depressive symptoms. A Pilot Study,Jason-TsangGL,User,https://avatars.githubusercontent.com/u/110850048?v=4,2022-08-31T23:08:38Z,2024-01-02T23:10:26Z,,33268,,3,0,False,"['carekit', 'healthkit', 'ios', 'kinesiology', 'mobility', 'research', 'research-tool', 'researchkit', 'swift']",False,main,Swift,True,True,False,True,True,https://api.github.com/repos/Jason-TsangGL/Mindful-Moves
